transaction_id,transaction_date,description,amount,currency,transaction_type,reference,bank_status
TXN-6001,2026-08-29,UPI/ZEPHYR DIGIT@okbank/PAYMENT,219200.0,INR,CREDIT,REF-TXN-6001,SETTLED
TXN-6002,2026-02-04,UPI/CLOUDNOVA TE@okbank/PAYMENT,302550.0,INR,CREDIT,REF-TXN-6002,SETTLED
TXN-6003,2026-04-15,BANK TRANSFER BHARAT FUEL SERVICES,402550.0,INR,CREDIT,REF-TXN-6003,SETTLED
TXN-6004,2026-06-27,RTGS/CLOUDNOVA TECHN/REF-386090,368900.0,INR,CREDIT,REF-TXN-6004,SETTLED
TXN-6005,2025-09-17,RTGS/TRIDENT SUPPLY /REF-446747,472550.0,INR,CREDIT,REF-TXN-6005,SETTLED
TXN-6006,2026-04-26,IMPS/METRO/INV/2025-26/1195,228950.0,INR,CREDIT,REF-TXN-6006,SETTLED
TXN-6007,2025-09-28,IMPS/STERLING/INV/2025-26/1080,129450.0,INR,CREDIT,REF-TXN-6007,SETTLED
TXN-6008,2026-04-25,RTGS/APEX INFRAWORKS/REF-695361,52150.0,INR,CREDIT,REF-TXN-6008,SETTLED
TXN-6009,2025-10-12,UPI/METRO LOGIST@okbank/PAYMENT,75200.0,INR,CREDIT,REF-TXN-6009,SETTLED
TXN-6010,2026-08-25,IMPS/METRO/INV/2025-26/1241,384450.0,INR,CREDIT,REF-TXN-6010,SETTLED
TXN-6011,2026-05-03,NEFT/TRIDENT SUPPLY CHAIN SOLUTIONS,486350.0,INR,CREDIT,REF-TXN-6011,SETTLED
TXN-6012,2026-01-04,UPI/TRIDENT SUPP@okbank/PAYMENT,70250.0,INR,CREDIT,REF-TXN-6012,SETTLED
TXN-6013,2025-09-22,NEFT/BHARAT FUEL SERVICES,443700.0,INR,CREDIT,REF-TXN-6013,SETTLED
TXN-6014,2026-03-12,RTGS/CLOUDNOVA TECHN/REF-502206,317400.0,INR,CREDIT,REF-TXN-6014,SETTLED
TXN-6015,2026-06-25,IMPS/CLOUDNOVA/INV/2025-26/1047,197800.0,INR,CREDIT,REF-TXN-6015,SETTLED
