transaction_id,actual_invoice_id,actual_status,actual_reason
TXN-6001,INV-0020,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6002,INV-0421,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6003,INV-0203,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6004,INV-0424,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6005,INV-0247,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6006,INV-0195,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6007,INV-0080,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6008,INV-0488,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6009,INV-0367,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6010,INV-0241,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6011,INV-0392,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6012,INV-0224,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6013,INV-0286,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6014,INV-0482,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6015,INV-0047,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6016,INV-0184,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6017,INV-0198,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6018,INV-0380,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6019,INV-0002,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6020,INV-0052,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6021,INV-0165,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6022,INV-0494,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6023,INV-0419,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6024,INV-0353,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6025,INV-0335,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6026,INV-0102,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6027,INV-0021,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6028,INV-0057,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6029,INV-0114,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6030,INV-0396,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6031,INV-0054,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6032,INV-0001,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6033,INV-0078,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6034,INV-0125,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6035,INV-0058,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6036,INV-0468,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6037,INV-0192,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6038,INV-0465,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6039,INV-0043,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6040,INV-0172,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6041,INV-0311,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6042,INV-0400,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6043,INV-0004,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6044,INV-0443,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6045,INV-0075,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6046,INV-0429,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6047,INV-0445,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6048,INV-0148,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6049,INV-0372,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6050,INV-0276,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6051,INV-0480,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6052,INV-0230,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6053,INV-0389,MATCH,"Exact amount, vendor, and single valid mapping."
TXN-6054,INV-0347,MATCH,"Exact amount, vendor, and single valid mapping."
