transaction_id,invoice_id,xgb_probability,model_margin,amount_difference_percent,vendor_similarity,date_difference_days,reference_match,decision,decision_reason,explanation,actual_invoice_id,actual_status,actual_match,predicted_match,true_positive,false_positive,false_negative,true_negative
TXN-6001,INV-0020,0.9997888,0.98448855,0.0,68.08510638297872,11,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity,INV-0020,MATCH,True,True,True,False,False,False
TXN-6002,INV-0421,0.999851,0.99959797,0.0,56.14035087719298,18,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount,INV-0421,MATCH,True,True,True,False,False,False
TXN-6003,INV-0203,0.9995096,0.9967615,0.0,100.0,5,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0203,MATCH,True,True,True,False,False,False
TXN-6004,INV-0424,0.9998797,0.9998073,0.0,60.71428571428572,15,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity,INV-0424,MATCH,True,True,True,False,False,False
TXN-6005,INV-0247,0.9999231,0.9998246,0.0,71.7948717948718,4,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity,INV-0247,MATCH,True,True,True,False,False,False
TXN-6006,INV-0195,0.999884,0.9998195,0.0,38.297872340425535,15,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Invoice reference found,INV-0195,MATCH,True,True,True,False,False,False
TXN-6007,INV-0080,0.99994755,0.99991417,0.0,50.0,6,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Invoice reference found,INV-0080,MATCH,True,True,True,False,False,False
TXN-6008,INV-0488,0.99978346,0.998803,0.0,83.33333333333333,10,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0488,MATCH,True,True,True,False,False,False
TXN-6009,INV-0367,0.9999062,0.99983436,0.0,57.69230769230769,6,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount,INV-0367,MATCH,True,True,True,False,False,False
TXN-6010,INV-0241,0.99985266,0.99984175,0.0,38.297872340425535,14,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Invoice reference found,INV-0241,MATCH,True,True,True,False,False,False
TXN-6011,INV-0392,0.9997193,0.00037312508,0.0,100.0,3,0,REVIEW,Ambiguous candidate ranking,Exact/near-exact amount + Strong vendor similarity + Close transaction date,INV-0392,MATCH,True,False,False,False,True,False
TXN-6012,INV-0224,0.9997385,0.999041,0.0,59.64912280701754,6,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount,INV-0224,MATCH,True,True,True,False,False,False
TXN-6013,INV-0286,0.9996952,0.99603516,0.0,100.0,11,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0286,MATCH,True,True,True,False,False,False
TXN-6014,INV-0482,0.9994585,0.9971054,0.0,60.71428571428572,9,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity,INV-0482,MATCH,True,True,True,False,False,False
TXN-6015,INV-0047,0.9999875,0.99993664,0.0,51.42857142857143,15,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Invoice reference found,INV-0047,MATCH,True,True,True,False,False,False
TXN-6016,INV-0184,0.9996952,0.99894106,0.0,100.0,11,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0184,MATCH,True,True,True,False,False,False
TXN-6017,INV-0198,0.9975375,0.9975338,0.0,41.37931034482759,19,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Invoice reference found,INV-0198,MATCH,True,True,True,False,False,False
TXN-6018,INV-0380,0.9999348,0.9772754,0.0,71.7948717948718,12,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity,INV-0380,MATCH,True,True,True,False,False,False
TXN-6019,INV-0002,0.9998996,0.9998,0.0,100.0,2,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity + Close transaction date,INV-0002,MATCH,True,True,True,False,False,False
TXN-6020,INV-0052,0.9999907,0.99966383,0.0,82.35294117647058,15,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0052,MATCH,True,True,True,False,False,False
TXN-6021,INV-0165,0.99991596,0.9993653,0.0,100.0,13,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0165,MATCH,True,True,True,False,False,False
TXN-6022,INV-0494,0.9996908,0.9586804,0.0,100.0,10,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0494,MATCH,True,True,True,False,False,False
TXN-6023,INV-0419,0.9996834,0.9980513,0.0,100.0,10,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0419,MATCH,True,True,True,False,False,False
TXN-6024,INV-0353,0.999801,0.99954325,0.0,76.92307692307692,8,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity,INV-0353,MATCH,True,True,True,False,False,False
TXN-6025,INV-0335,0.99991035,0.99795556,0.0,68.08510638297872,16,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity,INV-0335,MATCH,True,True,True,False,False,False
TXN-6026,INV-0102,0.9969258,0.99677324,0.0,54.16666666666666,20,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount,INV-0102,MATCH,True,True,True,False,False,False
TXN-6027,INV-0021,0.999813,0.99949664,0.0,100.0,18,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0021,MATCH,True,True,True,False,False,False
TXN-6028,INV-0057,0.9998753,0.9998077,0.0,75.0,7,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity,INV-0057,MATCH,True,True,True,False,False,False
TXN-6029,INV-0114,0.99941266,0.9985255,0.0,100.0,20,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0114,MATCH,True,True,True,False,False,False
TXN-6030,INV-0396,0.9965894,0.99585307,0.0,100.0,17,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0396,MATCH,True,True,True,False,False,False
TXN-6031,INV-0054,0.9998883,0.99724615,0.0,100.0,12,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0054,MATCH,True,True,True,False,False,False
TXN-6032,INV-0001,0.9999194,0.99932235,0.0,100.0,4,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0001,MATCH,True,True,True,False,False,False
TXN-6033,INV-0078,0.99995863,0.9997088,0.0,100.0,17,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0078,MATCH,True,True,True,False,False,False
TXN-6034,INV-0125,0.99975425,0.99965185,0.0,71.7948717948718,18,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity,INV-0125,MATCH,True,True,True,False,False,False
TXN-6035,INV-0058,0.99962056,0.99758714,0.0,100.0,11,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0058,MATCH,True,True,True,False,False,False
TXN-6036,INV-0468,0.9999832,0.9992221,0.0,70.96774193548387,15,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity,INV-0468,MATCH,True,True,True,False,False,False
TXN-6037,INV-0192,0.9997832,0.9848503,0.0,100.0,19,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0192,MATCH,True,True,True,False,False,False
TXN-6038,INV-0465,0.9998534,0.9997747,0.0,100.0,17,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0465,MATCH,True,True,True,False,False,False
TXN-6039,INV-0043,0.9999323,0.9976707,0.0,100.0,15,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0043,MATCH,True,True,True,False,False,False
TXN-6040,INV-0172,0.99984837,0.99870497,0.0,100.0,14,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0172,MATCH,True,True,True,False,False,False
TXN-6041,INV-0311,0.999908,0.99983805,0.0,56.14035087719298,2,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Close transaction date,INV-0311,MATCH,True,True,True,False,False,False
TXN-6042,INV-0400,0.99928147,0.98318666,0.0,100.0,10,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0400,MATCH,True,True,True,False,False,False
TXN-6043,INV-0004,0.99990857,0.9998536,0.0,100.0,13,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0004,MATCH,True,True,True,False,False,False
TXN-6044,INV-0443,0.99985623,0.99185914,0.0,100.0,7,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0443,MATCH,True,True,True,False,False,False
TXN-6045,INV-0075,0.9990447,0.99903524,0.0,45.16129032258065,2,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Close transaction date + Invoice reference found,INV-0075,MATCH,True,True,True,False,False,False
TXN-6046,INV-0429,0.99985397,0.99786115,0.0,100.0,3,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity + Close transaction date,INV-0429,MATCH,True,True,True,False,False,False
TXN-6047,INV-0445,0.9998882,0.99796486,0.0,100.0,3,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity + Close transaction date,INV-0445,MATCH,True,True,True,False,False,False
TXN-6048,INV-0148,0.99986935,0.9987545,0.0,83.33333333333333,10,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0148,MATCH,True,True,True,False,False,False
TXN-6049,INV-0372,0.99988127,0.9998341,0.0,56.14035087719298,5,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount,INV-0372,MATCH,True,True,True,False,False,False
TXN-6050,INV-0276,0.99994266,0.9989501,0.0,68.08510638297872,12,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity,INV-0276,MATCH,True,True,True,False,False,False
TXN-6051,INV-0480,0.99992037,0.9996628,0.0,100.0,13,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0480,MATCH,True,True,True,False,False,False
TXN-6052,INV-0230,0.99997675,0.9994832,0.0,46.15384615384615,18,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Invoice reference found,INV-0230,MATCH,True,True,True,False,False,False
TXN-6053,INV-0389,0.9998479,0.9683688,0.0,100.0,4,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0389,MATCH,True,True,True,False,False,False
TXN-6054,INV-0347,0.99993515,0.98745346,0.0,57.69230769230769,13,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount,INV-0347,MATCH,True,True,True,False,False,False
TXN-6055,INV-0235,0.99784434,0.1077925,0.0,100.0,8,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0235,MATCH,True,True,True,False,False,False
TXN-6056,INV-0237,0.9998815,0.9995758,0.0,68.08510638297872,1,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity + Close transaction date,INV-0237,MATCH,True,True,True,False,False,False
TXN-6057,INV-0410,0.9998161,0.99872845,0.0,100.0,18,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity,INV-0410,MATCH,True,True,True,False,False,False
TXN-6058,INV-0202,0.99998415,0.99568796,0.0,66.66666666666666,13,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity,INV-0202,MATCH,True,True,True,False,False,False
TXN-6059,INV-0322,0.99910647,0.9990139,0.0,45.16129032258065,8,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Invoice reference found,INV-0322,MATCH,True,True,True,False,False,False
