transaction_id,invoice_id,xgb_probability,model_margin,amount_difference_percent,vendor_similarity,date_difference_days,reference_match,decision,decision_reason,explanation
TXN-6001,INV-0020,0.9997888,0.98448855,0.0,68.08510638297872,11,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity
TXN-6002,INV-0421,0.999851,0.99959797,0.0,56.14035087719298,18,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount
TXN-6003,INV-0203,0.9995096,0.9967615,0.0,100.0,5,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6004,INV-0424,0.9998797,0.9998073,0.0,60.714285714285715,15,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity
TXN-6005,INV-0247,0.9999231,0.9998246,0.0,71.7948717948718,4,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity
TXN-6006,INV-0195,0.999884,0.9998195,0.0,38.297872340425535,15,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Invoice reference found
TXN-6007,INV-0080,0.99994755,0.99991417,0.0,50.0,6,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Invoice reference found
TXN-6008,INV-0488,0.99978346,0.998803,0.0,83.33333333333333,10,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6009,INV-0367,0.9999062,0.99983436,0.0,57.69230769230769,6,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount
TXN-6010,INV-0241,0.99985266,0.99984175,0.0,38.297872340425535,14,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Invoice reference found
TXN-6011,INV-0392,0.9997193,0.00037312508,0.0,100.0,3,0,REVIEW,Ambiguous candidate ranking,Exact/near-exact amount + Strong vendor similarity + Close transaction date
TXN-6012,INV-0224,0.9997385,0.999041,0.0,59.64912280701754,6,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount
TXN-6013,INV-0286,0.9996952,0.99603516,0.0,100.0,11,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6014,INV-0482,0.9994585,0.9971054,0.0,60.714285714285715,9,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity
TXN-6015,INV-0047,0.9999875,0.99993664,0.0,51.42857142857143,15,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Invoice reference found
TXN-6016,INV-0184,0.9996952,0.99894106,0.0,100.0,11,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6017,INV-0198,0.9975375,0.9975338,0.0,41.37931034482759,19,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Invoice reference found
TXN-6018,INV-0380,0.9999348,0.9772754,0.0,71.7948717948718,12,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity
TXN-6019,INV-0002,0.9998996,0.9998,0.0,100.0,2,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity + Close transaction date
TXN-6020,INV-0052,0.9999907,0.99966383,0.0,82.35294117647058,15,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6021,INV-0165,0.99991596,0.9993653,0.0,100.0,13,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6022,INV-0494,0.9996908,0.9586804,0.0,100.0,10,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6023,INV-0419,0.9996834,0.9980513,0.0,100.0,10,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6024,INV-0353,0.999801,0.99954325,0.0,76.92307692307692,8,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity
TXN-6025,INV-0335,0.99991035,0.99795556,0.0,68.08510638297872,16,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity
TXN-6026,INV-0102,0.9969258,0.99677324,0.0,54.166666666666664,20,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount
TXN-6027,INV-0021,0.999813,0.99949664,0.0,100.0,18,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6028,INV-0057,0.9998753,0.9998077,0.0,75.0,7,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity
TXN-6029,INV-0114,0.99941266,0.9985255,0.0,100.0,20,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6030,INV-0396,0.9965894,0.99585307,0.0,100.0,17,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6031,INV-0054,0.9998883,0.99724615,0.0,100.0,12,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6032,INV-0001,0.9999194,0.99932235,0.0,100.0,4,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6033,INV-0078,0.99995863,0.9997088,0.0,100.0,17,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6034,INV-0125,0.99975425,0.99965185,0.0,71.7948717948718,18,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity
TXN-6035,INV-0058,0.99962056,0.99758714,0.0,100.0,11,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6036,INV-0468,0.9999832,0.9992221,0.0,70.96774193548387,15,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity
TXN-6037,INV-0192,0.9997832,0.9848503,0.0,100.0,19,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6038,INV-0465,0.9998534,0.9997747,0.0,100.0,17,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6039,INV-0043,0.9999323,0.9976707,0.0,100.0,15,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6040,INV-0172,0.99984837,0.99870497,0.0,100.0,14,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6041,INV-0311,0.999908,0.99983805,0.0,56.14035087719298,2,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Close transaction date
TXN-6042,INV-0400,0.99928147,0.98318666,0.0,100.0,10,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6043,INV-0004,0.99990857,0.9998536,0.0,100.0,13,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6044,INV-0443,0.99985623,0.99185914,0.0,100.0,7,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6045,INV-0075,0.9990447,0.99903524,0.0,45.16129032258065,2,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Close transaction date + Invoice reference found
TXN-6046,INV-0429,0.99985397,0.99786115,0.0,100.0,3,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity + Close transaction date
TXN-6047,INV-0445,0.9998882,0.99796486,0.0,100.0,3,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity + Close transaction date
TXN-6048,INV-0148,0.99986935,0.9987545,0.0,83.33333333333333,10,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6049,INV-0372,0.99988127,0.9998341,0.0,56.14035087719298,5,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount
TXN-6050,INV-0276,0.99994266,0.9989501,0.0,68.08510638297872,12,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity
TXN-6051,INV-0480,0.99992037,0.9996628,0.0,100.0,13,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6052,INV-0230,0.99997675,0.9994832,0.0,46.15384615384615,18,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Invoice reference found
TXN-6053,INV-0389,0.9998479,0.9683688,0.0,100.0,4,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6054,INV-0347,0.99993515,0.98745346,0.0,57.69230769230769,13,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount
TXN-6055,INV-0235,0.99784434,0.1077925,0.0,100.0,8,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6056,INV-0237,0.9998815,0.9995758,0.0,68.08510638297872,1,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity + Close transaction date
TXN-6057,INV-0410,0.9998161,0.99872845,0.0,100.0,18,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6058,INV-0202,0.99998415,0.99568796,0.0,66.66666666666666,13,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity
TXN-6059,INV-0322,0.99910647,0.9990139,0.0,45.16129032258065,8,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Invoice reference found
TXN-6060,INV-0454,0.99979025,0.9996164,0.0,57.69230769230769,5,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount
TXN-6061,INV-0486,0.9982602,0.9977463,0.0,58.8235294117647,4,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount
TXN-6062,INV-0336,0.99993515,0.99932146,0.0,100.0,20,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6063,INV-0060,0.9999292,0.9974396,0.0,100.0,8,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6064,INV-0230,0.9999188,0.0011751056,0.02301495972382048,100.0,14,0,REVIEW,Ambiguous candidate ranking,Exact/near-exact amount + Strong vendor similarity
TXN-6065,INV-0182,0.9999038,0.9990134,0.0,100.0,15,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6066,INV-0076,0.9996971,0.36259758,0.0,100.0,8,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6067,INV-0428,0.99994266,0.9993597,0.0,83.33333333333333,13,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6068,INV-0139,0.999828,0.9972967,0.0,100.0,18,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6069,INV-0206,0.9949327,0.9949224,0.0,41.37931034482759,5,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Invoice reference found
TXN-6070,INV-0140,0.999928,0.9877196,0.0,100.0,8,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6071,INV-0220,0.9998765,0.9974566,0.0,100.0,11,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6072,INV-0378,0.999959,0.9998755,0.0,48.484848484848484,11,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Invoice reference found
TXN-6073,INV-0338,0.9998374,0.0006980896,0.0,100.0,5,0,REVIEW,Ambiguous candidate ranking,Exact/near-exact amount + Strong vendor similarity
TXN-6074,INV-0207,0.99731475,0.99730384,0.0,41.37931034482759,8,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Invoice reference found
TXN-6075,INV-0303,0.99918133,0.9969849,0.0,100.0,9,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6076,INV-0170,0.99988663,0.9997587,0.0,75.0,19,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity
TXN-6077,INV-0119,0.9998467,0.9995797,0.0,58.8235294117647,14,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount
TXN-6078,INV-0097,0.994806,0.9946116,0.0,58.8235294117647,2,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Close transaction date
TXN-6079,INV-0374,0.99961877,0.9994912,0.0,68.08510638297872,17,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity
TXN-6080,INV-0092,0.99980253,0.99979943,0.0,41.37931034482759,14,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Invoice reference found
TXN-6081,INV-0183,0.99990404,0.999194,0.0,100.0,13,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6082,INV-0227,0.9999292,0.97015566,0.0,70.96774193548387,16,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity
TXN-6083,INV-0176,0.9999094,0.99980503,0.0,75.0,10,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity
TXN-6084,INV-0441,0.99986076,0.9988359,0.0,100.0,15,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6085,INV-0407,0.9999161,0.9992621,0.0,100.0,14,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6086,INV-0307,0.9996111,0.99922097,0.0,70.96774193548387,17,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity
TXN-6087,INV-0259,0.9995585,0.95303303,0.0,70.96774193548387,8,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Moderate vendor similarity
TXN-6088,INV-0422,0.99962056,0.99425876,0.0,100.0,11,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Strong vendor similarity
TXN-6089,INV-0171,0.9999019,0.99989873,0.0,38.095238095238095,15,1,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Invoice reference found
TXN-6090,INV-0032,0.99982494,0.9914017,0.0,59.25925925925926,3,0,MATCH,XGBoost match passed financial safety checks,Exact/near-exact amount + Close transaction date
