invoice_id,invoice_number,invoice_amount,invoice_date,reason
INV-0121,INV/2025-26/1121,476100.0,2026-01-06,NO_PAYMENT_FOUND
INV-0035,INV/2025-26/1035,52500.0,2026-03-09,NO_PAYMENT_FOUND
INV-0065,INV/2025-26/1065,50150.0,2026-03-18,NO_PAYMENT_FOUND
INV-0018,INV/2025-26/1018,228200.0,2026-04-13,NO_PAYMENT_FOUND
INV-0225,INV/2025-26/1225,341400.0,2026-06-30,NO_PAYMENT_FOUND
INV-0401,INV/2025-26/1401,377100.0,2025-10-02,NO_PAYMENT_FOUND
INV-0473,INV/2025-26/1473,374950.0,2025-09-25,NO_PAYMENT_FOUND
INV-0312,INV/2025-26/1312,299350.0,2025-10-30,NO_PAYMENT_FOUND
INV-0435,INV/2025-26/1435,123650.0,2026-02-10,NO_PAYMENT_FOUND
INV-0074,INV/2025-26/1074,320300.0,2026-01-06,NO_PAYMENT_FOUND
INV-0016,INV/2025-26/1016,38000.0,2026-07-28,NO_PAYMENT_FOUND
INV-0082,INV/2025-26/1082,193150.0,2026-03-18,NO_PAYMENT_FOUND
INV-0348,INV/2025-26/1348,43400.0,2025-10-27,NO_PAYMENT_FOUND
INV-0384,INV/2025-26/1384,344400.0,2026-04-13,NO_PAYMENT_FOUND
INV-0411,INV/2025-26/1411,288100.0,2026-07-20,NO_PAYMENT_FOUND
INV-0263,INV/2025-26/1263,11700.0,2026-06-02,NO_PAYMENT_FOUND
INV-0187,INV/2025-26/1187,436900.0,2026-03-31,NO_PAYMENT_FOUND
INV-0208,INV/2025-26/1208,372200.0,2026-01-09,NO_PAYMENT_FOUND
INV-0327,INV/2025-26/1327,115000.0,2025-09-16,NO_PAYMENT_FOUND
INV-0344,INV/2025-26/1344,106950.0,2026-05-27,NO_PAYMENT_FOUND
INV-0039,INV/2025-26/1039,91850.0,2026-01-21,NO_PAYMENT_FOUND
INV-0030,INV/2025-26/1030,442000.0,2026-01-05,NO_PAYMENT_FOUND
INV-0406,INV/2025-26/1406,199800.0,2026-04-04,NO_PAYMENT_FOUND
INV-0328,INV/2025-26/1328,404050.0,2025-10-22,NO_PAYMENT_FOUND
INV-0141,INV/2025-26/1141,38350.0,2025-12-27,NO_PAYMENT_FOUND
INV-0223,INV/2025-26/1223,124750.0,2025-11-08,NO_PAYMENT_FOUND
INV-0315,INV/2025-26/1315,411550.0,2026-01-10,NO_PAYMENT_FOUND
INV-0181,INV/2025-26/1181,94300.0,2025-11-15,NO_PAYMENT_FOUND
INV-0467,INV/2025-26/1467,387500.0,2026-08-15,NO_PAYMENT_FOUND
INV-0446,INV/2025-26/1446,31400.0,2026-07-28,NO_PAYMENT_FOUND
INV-0373,INV/2025-26/1373,85350.0,2026-06-15,NO_PAYMENT_FOUND
INV-0022,INV/2025-26/1022,201000.0,2025-11-15,NO_PAYMENT_FOUND
INV-0229,INV/2025-26/1229,499900.0,2025-10-13,NO_PAYMENT_FOUND
INV-0180,INV/2025-26/1180,302650.0,2025-11-17,NO_PAYMENT_FOUND
INV-0228,INV/2025-26/1228,250650.0,2026-06-11,NO_PAYMENT_FOUND
INV-0354,INV/2025-26/1354,50300.0,2026-04-26,NO_PAYMENT_FOUND
INV-0086,INV/2025-26/1086,167800.0,2026-08-01,NO_PAYMENT_FOUND
INV-0219,INV/2025-26/1219,392650.0,2026-04-06,NO_PAYMENT_FOUND
INV-0368,INV/2025-26/1368,79600.0,2026-03-02,NO_PAYMENT_FOUND
INV-0309,INV/2025-26/1309,205800.0,2026-08-06,NO_PAYMENT_FOUND
