transaction_id,predicted_invoice_id,confidence,decision,amount_difference,amount_difference_percent,date_difference_days,vendor_similarity,reference_match,second_best_score,confidence_margin,reason,actual_invoice_id,actual_status
TXN-6361,INV-0163,99.33,MATCH,0.0,0.0,3,100.0,True,70.46,28.87,Invoice reference matched + exact amount + unambiguous candidate,INV-0163,MATCH
TXN-6069,INV-0206,98.89,MATCH,0.0,0.0,5,100.0,True,67.03,31.86,Invoice reference matched + exact amount + unambiguous candidate,INV-0206,MATCH
TXN-6074,INV-0207,98.22,MATCH,0.0,0.0,8,100.0,True,69.15,29.07,Invoice reference matched + exact amount + unambiguous candidate,INV-0207,MATCH
TXN-6276,INV-0055,98.22,MATCH,0.0,0.0,8,100.0,True,49.28,48.94,Invoice reference matched + exact amount + unambiguous candidate,INV-0055,MATCH
TXN-6429,INV-0458,98.0,MATCH,0.0,0.0,9,100.0,True,68.57,29.43,Invoice reference matched + exact amount + unambiguous candidate,INV-0458,DUPLICATE
TXN-6463,INV-0188,98.0,MATCH,0.0,0.0,9,100.0,True,74.21,23.79,Invoice reference matched + exact amount + unambiguous candidate,INV-0188,DUPLICATE
TXN-6173,INV-0325,97.78,MATCH,0.0,0.0,10,100.0,True,76.69,21.09,Invoice reference matched + exact amount + unambiguous candidate,INV-0325,MATCH
TXN-6275,INV-0466,97.78,MATCH,0.0,0.0,10,100.0,True,55.64,42.14,Invoice reference matched + exact amount + unambiguous candidate,INV-0466,MATCH
TXN-6102,INV-0308,97.33,MATCH,0.0,0.0,12,100.0,True,78.96,18.37,Invoice reference matched + exact amount + unambiguous candidate,INV-0308,MATCH
TXN-6200,INV-0386,97.11,MATCH,0.0,0.0,13,100.0,True,64.41,32.7,Invoice reference matched + exact amount + unambiguous candidate,INV-0386,MATCH
TXN-6080,INV-0092,96.89,MATCH,0.0,0.0,14,100.0,True,74.21,22.68,Invoice reference matched + exact amount + unambiguous candidate,INV-0092,MATCH
TXN-6017,INV-0198,95.78,MATCH,0.0,0.0,19,100.0,True,57.55,38.23,Invoice reference matched + exact amount + unambiguous candidate,INV-0198,MATCH
TXN-6356,INV-0349,91.38,MATCH,0.0,0.0,1,72.0,True,70.55,20.83,Invoice reference matched + exact amount + unambiguous candidate,INV-0349,MATCH
TXN-6246,INV-0242,90.04,MATCH,0.0,0.0,7,72.0,True,65.1,24.94,Invoice reference matched + exact amount + unambiguous candidate,INV-0242,MATCH
TXN-6163,INV-0152,89.78,MATCH,0.0,0.0,1,66.67,True,56.29,33.49,Invoice reference matched + exact amount + unambiguous candidate,INV-0152,MATCH
TXN-6178,INV-0497,89.78,MATCH,0.0,0.0,1,66.67,True,66.12,23.66,Invoice reference matched + exact amount + unambiguous candidate,INV-0497,MATCH
TXN-6045,INV-0075,89.56,MATCH,0.0,0.0,2,66.67,True,56.28,33.28,Invoice reference matched + exact amount + unambiguous candidate,INV-0075,MATCH
TXN-6296,INV-0478,89.38,MATCH,0.0,0.0,10,72.0,True,57.35,32.03,Invoice reference matched + exact amount + unambiguous candidate,INV-0478,MATCH
TXN-6158,INV-0297,89.33,MATCH,0.0,0.0,3,66.67,True,62.86,26.47,Invoice reference matched + exact amount + unambiguous candidate,INV-0297,MATCH
TXN-6105,INV-0023,89.16,MATCH,0.0,0.0,11,72.0,True,62.91,26.25,Invoice reference matched + exact amount + unambiguous candidate,INV-0023,MATCH
TXN-6370,INV-0499,88.89,MATCH,0.0,0.0,5,66.67,True,64.67,24.22,Invoice reference matched + exact amount + unambiguous candidate,INV-0499,MATCH
TXN-6185,INV-0131,88.67,MATCH,0.0,0.0,6,66.67,True,69.86,18.81,Invoice reference matched + exact amount + unambiguous candidate,INV-0131,MATCH
TXN-6450,INV-0079,88.45,MATCH,0.0,0.0,7,66.67,True,57.18,31.27,Invoice reference matched + exact amount + unambiguous candidate,INV-0079,MATCH
TXN-6059,INV-0322,88.22,MATCH,0.0,0.0,8,66.67,True,64.39,23.83,Invoice reference matched + exact amount + unambiguous candidate,INV-0322,MATCH
TXN-6335,INV-0343,88.2,MATCH,0.0,0.0,4,63.64,True,61.29,26.91,Invoice reference matched + exact amount + unambiguous candidate,INV-0343,MATCH
TXN-6433,INV-0071,88.0,MATCH,0.0,0.0,9,66.67,True,60.27,27.73,Invoice reference matched + exact amount + unambiguous candidate,INV-0071,DUPLICATE
TXN-6451,INV-0079,88.0,REVIEW,0.0,0.0,9,66.67,True,57.48,30.52,Invoice already assigned; possible duplicate payment,INV-0079,DUPLICATE
TXN-6321,INV-0346,87.98,MATCH,0.0,0.0,5,63.64,True,31.48,56.5,Invoice reference matched + exact amount + unambiguous candidate,INV-0346,MATCH
TXN-6454,INV-0017,87.78,MATCH,0.0,0.0,10,66.67,True,53.67,34.11,Invoice reference matched + exact amount + unambiguous candidate,INV-0017,MATCH
TXN-6151,INV-0345,87.76,MATCH,0.0,0.0,6,63.64,True,63.22,24.54,Invoice reference matched + exact amount + unambiguous candidate,INV-0345,MATCH
TXN-6445,INV-0190,87.76,MATCH,0.0,0.0,6,63.64,True,69.32,18.44,Invoice reference matched + exact amount + unambiguous candidate,INV-0190,DUPLICATE
TXN-6236,INV-0268,87.62,MATCH,0.0,0.0,1,59.46,True,60.19,27.43,Invoice reference matched + exact amount + unambiguous candidate,INV-0268,MATCH
TXN-6207,INV-0409,87.54,MATCH,0.0,0.0,7,63.64,True,58.4,29.14,Invoice reference matched + exact amount + unambiguous candidate,INV-0409,MATCH
TXN-6303,INV-0471,87.38,MATCH,0.0,0.0,19,72.0,True,64.97,22.41,Invoice reference matched + exact amount + unambiguous candidate,INV-0471,MATCH
TXN-6464,INV-0331,87.17,MATCH,0.0,0.0,3,59.46,True,68.12,19.05,Invoice reference matched + exact amount + unambiguous candidate,INV-0331,MATCH
TXN-6306,INV-0108,87.11,MATCH,0.0,0.0,13,66.67,True,64.08,23.03,Invoice reference matched + exact amount + unambiguous candidate,INV-0108,MATCH
TXN-6135,INV-0049,87.09,MATCH,0.0,0.0,9,63.64,True,67.19,19.9,Invoice reference matched + exact amount + unambiguous candidate,INV-0049,MATCH
TXN-6325,INV-0341,86.97,MATCH,0.0,0.0,2,58.06,True,57.25,29.72,Invoice reference matched + exact amount + unambiguous candidate,INV-0341,MATCH
TXN-6144,INV-0313,86.89,MATCH,0.0,0.0,14,66.67,True,63.08,23.81,Invoice reference matched + exact amount + unambiguous candidate,INV-0313,MATCH
TXN-6169,INV-0277,86.75,MATCH,0.0,0.0,3,58.06,True,60.45,26.3,Invoice reference matched + exact amount + unambiguous candidate,INV-0277,MATCH
TXN-6015,INV-0047,86.67,MATCH,0.0,0.0,15,66.67,True,55.95,30.72,Invoice reference matched + exact amount + unambiguous candidate,INV-0047,MATCH
TXN-6202,INV-0218,86.65,MATCH,0.0,0.0,11,63.64,True,45.48,41.17,Invoice reference matched + exact amount + unambiguous candidate,INV-0218,MATCH
TXN-6007,INV-0080,86.5,MATCH,0.0,0.0,6,59.46,True,70.84,15.66,Invoice reference matched + exact amount + unambiguous candidate,INV-0080,MATCH
TXN-6295,INV-0153,86.5,MATCH,0.0,0.0,6,59.46,True,60.92,25.58,Invoice reference matched + exact amount + unambiguous candidate,INV-0153,MATCH
